"Issue Type","Summary","Description","Priority","Sprint","Epic Link","Labels","Original Estimate","Assignee"
"Story","US-28 Presentar la vista de proximos arribos","Como usuario de Planificacion, quiero ver los cinco arribos mas cercanos, para anticipar que llega esta semana.

Criterios de aceptacion (Gherkin):
- Dados pedidos con fecha proyectada, cuando abro la vista, entonces veo los cinco mas proximos dentro de los siguientes 7 dias
- Dado que hay menos de cinco en ese horizonte, cuando se completa la vista, entonces se rellena con los de peor cumplimiento dentro de 30 dias
- Dado un filtro activo, cuando cambia, entonces la vista responde al subconjunto filtrado

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-27
MoSCoW: Should","High","Sprint 7","OE3-Frontend","frontend,dashboard","8h","mamayorga"
"Story","US-29 Consultar el historial de tracking y dibujar el trayecto","Como usuario de Logistica, quiero ver el recorrido historico de un pedido, para reconstruir su viaje y auditar lo ocurrido.

Criterios de aceptacion (Gherkin):
- Dado un pedido con dos o mas posiciones, cuando abro su historial, entonces veo la secuencia cronologica en tabla y el trayecto sobre el mapa
- Dado un pedido con una sola posicion, cuando abro su historial, entonces se muestra el punto sin trazar trayecto
- Dado un registro del historial, cuando pido su detalle tecnico, entonces se muestra el payload original de la API

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-22 (Media en SRS) / CU-09
MoSCoW: Could","Medium","Sprint 7","OE3-Frontend","frontend,mapas,auditoria","10h","mamayorga"
"Story","US-30 Actualizar la nave asignada ante un transbordo","Como usuario de Logistica, quiero sustituir la nave de un pedido cuando hay transbordo, para seguir rastreandolo en el tramo vigente.

Criterios de aceptacion (Gherkin):
- Dado un pedido maritimo con nave, cuando registro la nueva nave, el puerto y la fecha, entonces el rastreo pasa a la nave nueva
- Dado el tramo anterior, cuando se cierra, entonces su historial de posiciones se conserva asociado a ese tramo
- Dadas varias lineas de OC que comparten la nave anterior, cuando aplico el transbordo, entonces puedo aplicarlo en bloque
- Dado un identificador desconocido por la fuente AIS, cuando lo registro, entonces se acepta y se advierte que no habra lectura hasta que la fuente lo reporte

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RF-26 / CU-10
MoSCoW: Should","High","Sprint 7","OE2-Backend","backend,manual,tracking","10h","mamayorga"
"Task","TASK-06 Pruebas de integracion extremo a extremo","Como desarrollador, quiero pruebas que recorran el flujo completo, para demostrar que el sistema opera de punta a punta.

Criterios de aceptacion (Gherkin):
- Dado un pedido semilla, cuando corre el flujo completo de ingesta, tracking, calculo y consulta, entonces el estado final es el esperado
- Dadas las reglas de calculo, cuando ejecuto su suite, entonces la cobertura de la seccion 7 del SRS supera el 70% conforme a RNF-18

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RNF-18 / Criterios seccion 10
MoSCoW: Must","Highest","Cierre","OE4-Persistencia","pruebas,cierre","12h","mamayorga"
"Task","TASK-07 Manual de instalacion local","Como tecnico del Centro de Competencias, quiero un manual de instalacion reproducible, para levantar el sistema en otro equipo.

Criterios de aceptacion (Gherkin):
- Dado un equipo limpio, cuando sigo el manual, entonces el sistema queda operativo sin consultar al autor
- Dado el manual, cuando lo reviso, entonces documenta la ejecucion nativa sin contenedores conforme a la seccion 9.3

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: Criterios seccion 10
MoSCoW: Must","Highest","Cierre","OE4-Persistencia","documentacion,cierre","6h","mamayorga"
"Task","TASK-08 Manual de usuario del dashboard","Como usuario de Compras, quiero un manual de uso, para operar el dashboard sin capacitacion previa.

Criterios de aceptacion (Gherkin):
- Dado el manual, cuando lo sigo, entonces puedo filtrar, consultar detalle y confirmar un desembarco
- Dado el manual, cuando lo reviso, entonces esta integramente en espanol conforme a RNF-09

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RNF-10 / Criterios seccion 10
MoSCoW: Must","Highest","Cierre","OE4-Persistencia","documentacion,cierre","6h","mamayorga"
"Task","TASK-09 Guia de despliegue para produccion","Como tecnico del Centro de Competencias, quiero la guia de despliegue, para asumir la puesta en produccion tras la practica.

Criterios de aceptacion (Gherkin):
- Dada la guia, cuando la reviso, entonces documenta variables de entorno, dependencias y los artefactos de contenedor conservados
- Dada la guia, cuando la sigo, entonces identifico que queda fuera del alcance de la practica conforme a la seccion 1.2.2

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: Criterios seccion 10
MoSCoW: Must","Highest","Cierre","OE4-Persistencia","documentacion,cierre","6h","mamayorga"
"Story","US-31 Cargar los pedidos en transito desde el archivo Z-tracking","Como usuario de Compras, quiero cargar el archivo Z-tracking en el sistema, para que los pedidos entren sin mantenerlos a mano y sin depender de que SAP exponga un servicio.

Criterios de aceptacion (Gherkin):
- Dado un archivo Z-tracking, cuando lo cargo, entonces los pedidos nuevos se insertan y los existentes se actualizan por OC y posicion
- Dado un pedido que ya no figura en el archivo, cuando cargo, entonces lo senalo para revision manual y NO lo elimino
- Dada una carga, cuando termina, entonces informo recibidos, insertados, actualizados y rechazados
- Dadas las hojas del archivo, cuando lo proceso, entonces solo tomo PRODUCCION e IDA (alcance del 03/09)
- Dadas las fechas en formato serial de Excel, cuando las leo, entonces las convierto a fecha ISO

Reemplaza la sincronizacion con el API de SAP, que pasa a evolucion futura. Decision del 03/09/2026: se formaliza la carga manual como RF-31 y se resuelve el riesgo R2.","Highest","Sprint 4","OE2-Backend","backend,ingesta,carga-manual","14h","mamayorga"
"Story","US-32 Validar y normalizar los datos del Z-tracking antes de persistirlos","Como sistema, quiero validar y normalizar cada registro, para que un dato malo no contamine la base ni aborte la carga completa.

Criterios de aceptacion (Gherkin):
- Dado un registro sin OC, posicion o material, cuando lo valido, entonces lo rechazo con su motivo y sigo con el resto del lote
- Dado 'USA' y 'ESTADOS UNIDOS', cuando normalizo, entonces ambos resuelven al mismo pais del maestro (TASK-29)
- Dado un valor no resoluble (PENDIENTE, N/A, fuera de catalogo), cuando lo proceso, entonces marco la linea para revision sin abortar el lote (RN-17)
- Dada la via de transporte con ruido (INDIA, AEREO/MARITIMO), cuando la normalizo, entonces resuelve a {Aereo, Maritimo, Terrestre} o a revision
- Dada una referencia de embarque presente, cuando la valido, entonces verifico su formato segun TASK-30
- Dada la carga, cuando termina, entonces queda un informe de validacion con cada rechazo y su clave de origen","Highest","Sprint 4","OE2-Backend","backend,ingesta,validacion,normalizacion","10h","mamayorga"
"Story","US-33 Habilitar el modo de visualizacion permanente en pantalla grande","Como usuario de planta, quiero una vista permanente en pantalla grande, para seguir el estado de los pedidos sin interactuar con el sistema.

Criterios de aceptacion (Gherkin):
- Dada la pantalla de planta, cuando se abre, entonces muestra la vista simple de US-43 (material, etapa y cumplimiento)
- Dada la vista, cuando pasa el tiempo, entonces se refresca sola sin recargar la pagina (RNF-02)
- Dada la sesion, cuando la pantalla queda desatendida, entonces se aplica la politica de inactividad de US-42

Desbloqueada el 03/09: la vista simple define que mostrar.","Medium","Sprint 7","OE3-Frontend","frontend,ux,pantalla-planta","6h","mamayorga"
"Task","TASK-10 Politica de retencion y submuestreo del historial de posiciones","Como desarrollador, quiero una politica de retencion del historial, para que su crecimiento no degrade la consulta de pedidos activos.

Criterios de aceptacion (Gherkin):
- Dado el historial creciendo, cuando aplico la politica, entonces la consulta de pedidos activos mantiene su tiempo de respuesta
- Dado el submuestreo configurado, cuando lo modifico, entonces cambia la granularidad persistida sin desplegar codigo

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: RNF-22 / spike TG-10
MoSCoW: Could","Medium","Sprint 7","OE4-Persistencia","persistencia,rendimiento,opcional","8h","mamayorga"
"Task","TASK-11 Actualizar el SRS con los hallazgos de los spikes tecnicos","Como estudiante practicante, quiero el SRS actualizado con lo aprendido en los spikes, para que la especificacion refleje la realidad tecnica verificada.

Criterios de aceptacion (Gherkin):
- Dado el SRS v0.3, cuando lo reviso, entonces incorpora las reglas RN-05 revisada y RN-16, y la limitacion de cobertura AIS
- Dado el historial de revisiones, cuando lo consulto, entonces registra la version v0.3 con su fecha y descripcion

Definition of Done:
- Codigo con pruebas unitarias (cobertura minima 70%)
- Documentacion tecnica actualizada
- Revision con supervisor (Greivin) cuando aplique
- Merge a rama principal sin errores de CI

Origen en el SRS: Fase 6 de TG-18
MoSCoW: Must","Highest","Sprint 3","OE1-Analisis","documentacion,srs","6h","mamayorga"
"Task","TASK-28 Spike: cobertura de container tracking de pago en Moin y aereo en SJO","Como equipo, quiero medir la cobertura de container tracking de pago (Vizion, con Terminal49 / ShipsGo como alternativas) en Moin (CRMOB) y de una fuente aerea por AWB (Portcast / ShipsGo Air / TrackingMore) en SJO, para decidir si resuelven el tramo final y el punto ciego de AIS antes de comprometer la arquitectura de rastreo.

Criterios de aceptacion (Gherkin):
- Dado un BL/booking/contenedor real, cuando consulto el API, entonces obtengo eventos de milestone hasta el arribo a Moin, o se documenta la ausencia de cobertura
- Dado un MAWB real de India o China a SJO, cuando consulto el API aereo, entonces obtengo los hitos de carga (no la posicion de la aeronave); si el forwarder solo entrega HAWB, se documenta
- Dado el resultado, cuando lo registro, entonces queda evidencia en output/ y una recomendacion go/no-go y de costo, al estilo de TG-10 y TG-11

Revierte la decision abierta #3 / B1 (luz verde a fuentes de pago, 03/09/2026). Riesgo R1.","Highest","Sprint 3","OE2-Backend","backend,spike,tracking-pago,riesgo-externo","6h","mamayorga"
"Task","TASK-29 Maestro de paises y normalizacion de la ingesta","Como desarrollador, quiero un maestro de paises y una capa de normalizacion de pais, via, incoterm y temperatura, para que la carga (RF-02) convierta el texto libre sucio del Z-tracking en valores de dominio fiables.

Criterios de aceptacion (Gherkin):
- Dado el Z-tracking con 'USA' y 'ESTADOS UNIDOS', cuando lo cargo, entonces ambos resuelven al mismo pais del maestro (ISO)
- Dado un valor no reconocido (PENDIENTE, N/A, pais fuera del maestro), cuando lo cargo, entonces la linea se marca para revision sin abortar el lote
- Dado el campo via con ruido (INDIA, AEREO/MARITIMO), cuando lo normalizo, entonces resuelve a {Aereo, Maritimo, Terrestre} o a revision

Origen: muestra Z-tracking 03/09/2026.","Highest","Sprint 3","OE2-Backend","backend,ingesta,maestros,normalizacion","6h","mamayorga"
"Story","US-42 Autenticar usuarios con login, sesion y tres roles mas Administrador","Como usuario, quiero iniciar sesion con usuario y contrasena, para que el sistema me identifique, restrinja las operaciones segun mi rol y registre la autoria de mis intervenciones.

Criterios de aceptacion (Gherkin):
- Dadas credenciales validas, cuando entro, entonces se crea una sesion y auditoria_intervenciones.id_usuario se llena de la sesion, no de un selector manual (revisa B5)
- Dado mi rol (Compras, Logistica, Planificacion o Administrador), cuando opero, entonces solo el Administrador mantiene cuentas y solo los autorizados confirman/mantienen maestros (RNF-05)
- Dadas credenciales invalidas, cuando fallo, entonces el mensaje es generico y se cuenta el intento
- Dada la pantalla de planta, cuando pasa el tiempo de inactividad, entonces la sesion cierra

Sin SSO/Active Directory: mecanismo propio (RNF-05 ampliado). Revierte B9. Origen: reunion Logistica 03/09/2026.","Highest","Sprint 5","OE2-Backend","backend,autenticacion,seguridad","12h","mamayorga"
"Story","US-43 Ofrecer dos vistas de la grilla segun el rol: simple y completa","Como usuario, quiero que la grilla se ajuste a mi rol, para ver solo lo que me compete: una vista simple (Material, Etapa, Cumplimiento) o la vista completa.

Criterios de aceptacion (Gherkin):
- Dado un rol de Planificacion / pantalla de planta, cuando abro el dashboard, entonces la grilla muestra solo Material, Etapa y Cumplimiento
- Dado un rol de Compras o Logistica, cuando abro el dashboard, entonces la grilla muestra la actual mas deliveries, departures, ETD y ATD
- Dado que ETD/ATD no vienen del Z-tracking, cuando los muestro, entonces provienen del rastreo (US-08/US-11) o del container tracking (TASK-28) - fuente por confirmar

Origen: reunion Logistica 03/09/2026.","Highest","Sprint 6","OE3-Frontend","frontend,grilla,roles","10h","mamayorga"
"Story","US-44 Mostrar en el detalle el pais de origen y el mapa de seguimiento del pedido","Como usuario, quiero ver en el detalle el pais de origen del pedido y un mapa de seguimiento de ese envio en particular, para saber de donde viene y por donde va.

Criterios de aceptacion (Gherkin):
- Dado un pedido, cuando abro su detalle, entonces muestra el pais de origen normalizado (maestro de TASK-29)
- Dado un pedido con posicion, cuando abro su detalle, entonces muestra un mapa centrado en ese envio con su ultima posicion y, si existe, su trayecto (depende de US-29/RF-22)

Origen: reunion Logistica 03/09/2026.","High","Sprint 7","OE3-Frontend","frontend,detalle,mapa","8h","mamayorga"
"Task","TASK-30 Contrato de captura de la referencia de embarque","Como equipo, quiero definir por escrito que referencia se captura por envio, en que formato y quien la provee, para que Logistica la registre de forma utilizable y la carga pueda validarla. Es el prerrequisito de todo el rastreo: sin referencia ninguna API devuelve nada.

Criterios de aceptacion (Gherkin):
- Dado el documento, cuando lo reviso, entonces define los tipos admitidos: contenedor (ISO 6346, 4 letras + 7 digitos), BL master, booking y MAWB (11 digitos con prefijo de aerolinea)
- Dado el caso aereo, cuando lo documento, entonces deja explicito que el HAWB del agente de carga no resuelve y que hay que exigir el MAWB o su correspondencia
- Dado el incoterm, cuando lo documento, entonces indica quien posee la referencia: el agente de Gutis en EXW/FOB/FCA (56 OC) y el proveedor en CIF/CIP/CPT (71 OC)
- Dado el contrato, cuando se entrega, entonces Logistica puede anadir las columnas al Z-tracking y US-32 puede validar el formato

Origen: reunion con Logistica 03/09/2026. El Z-tracking no contiene ninguna referencia legible por maquina en sus 429 lineas.","Highest","Sprint 3","OE2-Backend","analisis,ingesta,referencia,prerrequisito","3h","mamayorga"
"Story","US-45 Integrar la fuente comercial de rastreo maritimo por contenedor o BL","Como sistema, quiero consultar la fuente comercial por contenedor o BL, para obtener los hitos y la posicion del envio sin depender del AIS gratuito.

Criterios de aceptacion (Gherkin):
- Dada una referencia maritima valida, cuando consulto la fuente, entonces obtengo los hitos normalizados y los mapeo a las etapas de RN-02 a RN-06
- Dada la respuesta, cuando la persisto, entonces guardo el payload original en historial_tracking (RF-21 / RNF-13)
- Dada una respuesta con buque, cuando la proceso, entonces relleno elementos_rastreados con nombre, IMO y MMSI
- Dado un envio con posicion, cuando la registro, entonces alimenta el mapa maritimo con su antiguedad (RF-20)
- Dada la fuente caida, cuando falla, entonces conservo la ultima lectura y senalo la antiguedad, sin degradar el dashboard (RF-09)

SOLO EN PLAN A: sujeta al resultado de TASK-28.","Highest","Sprint 4","OE2-Backend","backend,tracking,api-pago,plan-a","12h","mamayorga"
"Story","US-46 Integrar el rastreo aereo por guia aerea (MAWB)","Como sistema, quiero consultar los hitos de carga aerea por MAWB, para conocer el estado real del envio y no solo la posicion de la aeronave.

Criterios de aceptacion (Gherkin):
- Dado un MAWB valido, cuando consulto la fuente, entonces obtengo los hitos de carga y los mapeo a las etapas del semaforo
- Dados los hitos, cuando los proceso, entonces extraigo ETD y ATD para la vista completa de US-43
- Dado un envio partido en varias entregas, cuando lo rastreo, entonces la etapa refleja el estado de cada parte y no solo de la primera
- Dado un HAWB en vez de un MAWB, cuando la consulta no resuelve, entonces lo senalo para revision con un motivo claro
- Dada la via aerea, cuando la presento, entonces uso una linea de tiempo de hitos; la posicion de la aeronave es opcional y no bloquea

SOLO EN PLAN A: sujeta al resultado de TASK-28.","Highest","Sprint 4","OE2-Backend","backend,tracking,aereo,awb,plan-a","10h","mamayorga"
